	County	State	Population_Density	Poverty	Infant_Mortality	Suicide	Total_Births	Total_Deaths
74	Fairbanks North Star	AK	12	7.8	6.9	14.7	7530.0	1667.0
75	Haines	AK	1	11.4	0.0	0.0	198.0	143.0
76	Juneau	AK	11	7.3	6.9	9.5	2029.0	678.0
77	Kenai Peninsula	AK	3	9.9	6.6	25.2	3178.0	1423.0
78	Ketchikan Gateway	AK	11	8.1	6.4	16.4	1960.0	900.0
79	Kodiak Island	AK	2	8.7	6.9	10.1	2449.0	496.0
80	Lake and Peninsula	AK	0	16.6	0.0	0.0	292.0	139.0
81	Matanuska-Susitna	AK	3	10.5	5.4	19.4	4111.0	1492.0
82	Nome	AK	0	17.4	11.2	63.8	2067.0	599.0
83	North Slope	AK	0	11.6	9.5	35.7	1487.0	333.0
84	Northwest Arctic	AK	0	17.0	11.0	67.4	1631.0	394.0
85	Prince of Wales-Outer Ketchikan	AK	1	13.8	9.4	15.9	849.0	251.0
86	Sitka	AK	3	7.7	6.6	16.7	1205.0	483.0
87	Skagway-Hoonah-Angoon	AK	0	11.6	0.0	0.0	285.0	161.0
88	Southeast Fairbanks	AK	0	15.7	5.8	33.1	980.0	322.0
89	Valdez-Cordova	AK	0	9.1	5.0	13.1	1315.0	480.0
90	Wade Hampton	AK	0	25.1	10.3	66.5	2158.0	358.0
91	Wrangell-Petersburg	AK	1	8.9	4.1	18.0	826.0	451.0
92	Yakutat	AK	0	10.8	0.0	0.0	87.0	44.0
93	Yukon-Koyukuk	AK	0	17.5	6.5	91.3	1211.0	544.0
94	Apache	AZ	6	27.5	8.1	22.2	6317.0	2384.0
95	Cochise	AZ	20	16.3	9.2	18.3	5121.0	3325.0
96	Coconino	AZ	7	15.6	5.6	19.2	9383.0	2809.0
97	Gila	AZ	11	17.1	8.9	21.7	3389.0	3150.0
98	Graham	AZ	7	20.5	6.5	13.9	2301.0	1323.0
99	Greenlee	AZ	4	11.2	6.0	19.9	1314.0	601.0
100	La Paz	AZ	4	17.2	12.0	23.0	2045.0	1954.0
101	Maricopa	AZ	395	12.8	6.4	14.0	171452.0	70409.0
102	Mohave	AZ	14	14.9	6.4	26.2	6386.0	6444.0
103	Navajo	AZ	11	21.4	8.0	26.2	8411.0	3558.0
104	Pima	AZ	101	14.3	7.0	16.2	37459.0	23024.0
105	Pinal	AZ	43	14.6	7.6	17.8	8189.0	4925.0
106	Santa Cruz	AZ	34	19.2	4.4	10.3	3867.0	1061.0
107	Yavapai	AZ	24	12.0	6.0	22.7	5523.0	6164.0
108	Yuma	AZ	33	18.0	6.8	7.7	9305.0	3345.0
109	Arkansas	AR	20	17.3	6.2	14.2	2703.0	2770.0
110	Ashley	AR	25	17.8	10.3	13.5	3264.0	2809.0
111	Baxter	AR	73	13.7	7.1	24.5	1681.0	3173.0
112	Benton	AR	221	10.0	6.0	13.2	7711.0	3902.0
113	Boone	AR	61	15.3	6.8	13.8	2061.0	1937.0
114	Bradley	AR	19	20.3	6.6	8.9	1513.0	1778.0
115	Calhoun	AR	9	14.5	17.1	0.0	582.0	710.0
116	Carroll	AR	43	15.4	7.7	14.6	3253.0	2396.0
117	Chicot	AR	20	27.9	8.4	9.8	1978.0	1878.0
118	Clark	AR	26	17.2	6.5	10.0	2761.0	2577.0
119	Clay	AR	26	17.1	9.0	13.1	1980.0	2596.0
120	Cleburne	AR	46	14.4	4.9	16.7	2257.0	2881.0
121	Cleveland	AR	15	14.2	2.1	12.6	1044.0	883.0
122	Columbia	AR	32	20.3	9.9	9.0	1513.0	1579.0
123	Conway	AR	37	16.5	8.3	14.7	2515.0	2325.0
124	Craighead	AR	122	15.9	9.4	12.2	5956.0	3909.0
125	Crawford	AR	97	14.2	8.6	15.0	3821.0	2442.0
126	Crittenden	AR	85	22.5	12.3	12.8	4459.0	2605.0
127	Cross	AR	31	19.6	14.2	16.4	2664.0	2220.0
128	Dallas	AR	13	18.7	11.9	0.0	1105.0	1351.0
129	Desha	AR	19	23.2	10.2	12.0	2413.0	1806.0
130	Drew	AR	23	18.4	7.6	13.3	2485.0	1923.0
131	Faulkner	AR	150	12.8	7.2	9.6	6281.0	3109.0
132	Franklin	AR	30	16.4	6.9	13.1	2221.0	1981.0
133	Fulton	AR	19	18.2	7.6	13.7	1170.0	1439.0
134	Garland	AR	138	16.0	6.9	19.3	5219.0	6359.0
135	Grant	AR	27	10.9	9.5	17.7	1872.0	1504.0
136	Greene	AR	68	15.4	10.5	19.4	2664.0	2021.0
137	Hempstead	AR	32	19.0	8.2	14.0	3365.0	2644.0
138	Hot Spring	AR	51	15.0	5.5	13.8	1818.0	1640.0
139	Howard	AR	25	15.7	5.4	12.0	2016.0	1779.0
140	Independence	AR	45	14.9	7.3	17.7	2205.0	1926.0
141	Izard	AR	23	18.1	10.2	12.3	1314.0	1988.0
142	Jackson	AR	28	20.6	9.1	14.6	2200.0	2527.0
143	Jefferson	AR	92	20.9	10.3	9.1	6103.0	4498.0
144	Johnson	AR	36	17.1	6.3	17.0	3104.0	2395.0
145	Lafayette	AR	15	20.5	10.4	15.6	1095.0	1138.0
146	Lawrence	AR	29	19.0	9.5	14.9	2251.0	2433.0
147	Lee	AR	19	29.1	16.2	12.0	1582.0	1461.0
148	Lincoln	AR	25	23.4	10.1	6.8	1555.0	1283.0
149	Little River	AR	25	15.4	7.9	21.1	1688.0	1532.0
150	Logan	AR	32	16.4	4.2	13.9	2874.0	2634.0
151	Lonoke	AR	79	10.8	7.7	11.4	3649.0	2289.0
152	Madison	AR	18	17.0	13.0	19.1	1712.0	1448.0
153	Marion	AR	28	17.1	8.1	22.0	1359.0	1763.0
154	Miller	AR	69	17.8	8.0	15.1	2889.0	1873.0
155	Mississippi	AR	53	22.3	10.5	12.5	4281.0	2949.0
156	Monroe	AR	15	23.2	9.6	14.6	1409.0	1437.0
157	Montgomery	AR	12	17.3	5.9	24.4	929.0	1081.0
158	Nevada	AR	15	19.3	9.5	10.3	1266.0	1323.0
159	Newton	AR	10	19.9	4.9	16.6	903.0	824.0
160	Ouachita	AR	37	18.6	10.8	6.7	1755.0	1951.0
161	Perry	AR	19	14.8	8.1	25.6	1210.0	1134.0
162	Phillips	AR	35	28.4	10.4	0.0	2297.0	1664.0
163	Pike	AR	18	15.6	12.7	0.0	1397.0	1349.0
164	Poinsett	AR	33	20.5	10.4	16.0	3511.0	3124.0
165	Polk	AR	23	19.1	9.6	15.6	2746.0	2523.0
166	Pope	AR	70	16.5	5.8	10.7	3651.0	2531.0
167	Prairie	AR	14	15.4	10.0	12.9	1124.0	1190.0
168	Pulaski	AR	475	15.1	9.8	12.5	17023.0	9941.0
169	Randolph	AR	28	17.2	9.1	16.8	2054.0	2087.0
170	St. Francis	AR	44	25.2	9.7	13.5	2273.0	1697.0
171	Saline	AR	126	9.4	7.1	13.8	4790.0	3644.0
172	Scott	AR	12	18.9	7.9	22.5	1396.0	1254.0
173	Searcy	AR	12	21.8	10.7	16.8	827.0	1118.0
174	Sebastian	AR	221	15.4	8.7	14.9	5489.0	3365.0
175	Sevier	AR	29	17.8	7.1	19.7	2595.0	1673.0
176	Sharp	AR	29	19.9	8.6	15.4	1661.0	2498.0
177	Stone	AR	19	18.4	6.5	11.5	1186.0	1375.0
178	Union	AR	43	17.7	8.2	14.7	2942.0	2903.0
179	Van Buren	AR	23	17.0	9.4	22.9	1617.0	2184.0
180	Washington	AR	190	13.8	5.7	12.6	8410.0	3625.0
181	White	AR	69	15.5	8.2	15.1	4499.0	3533.0
182	Woodruff	AR	14	23.0	9.2	10.7	1092.0	1306.0
183	Yell	AR	23	15.6	5.5	12.3	3044.0	2360.0
184	Alameda	CA	1964	10.7	4.8	7.6	65423.0	29143.0
185	Alpine	CA	2	13.1	0.0	0.0	127.0	85.0
186	Amador	CA	65	9.2	3.9	17.6	1288.0	1904.0
187	Butte	CA	131	15.8	6.2	14.8	6959.0	6710.0
188	Calaveras	CA	46	9.7	4.4	17.5	1601.0	1999.0
189	Colusa	CA	18	13.0	5.9	12.6	3237.0	1451.0
190	Contra Costa	CA	1414	7.5	4.0	9.4	39653.0	20836.0
191	Del Norte	CA	28	18.6	7.5	16.2	1475.0	1312.0
192	El Dorado	CA	103	7.5	4.8	14.3	5216.0	3584.0
193	Fresno	CA	147	20.6	6.4	8.7	44463.0	17288.0
194	Glenn	CA	21	15.2	3.0	20.3	2016.0	1195.0
195	Humboldt	CA	36	15.6	7.1	18.9	4369.0	3763.0
196	Imperial	CA	37	19.8	4.4	5.3	8203.0	2790.0
197	Inyo	CA	2	10.6	7.3	19.3	1998.0	2229.0
198	Kern	CA	93	18.2	6.2	11.0	36837.0	15524.0
199	Kings	CA	103	18.2	6.6	9.4	6813.0	2282.0
200	Lake	CA	52	14.8	6.5	15.5	3090.0	3848.0
201	Lassen	CA	8	14.9	7.2	15.8	1519.0	1031.0
202	Los Angeles	CA	2447	17.7	5.4	7.9	457033.0	181018.0
203	Madera	CA	67	18.9	5.9	11.7	6626.0	2782.0
204	Marin	CA	475	7.3	3.3	11.3	8467.0	5575.0
205	Mariposa	CA	12	11.3	7.2	11.7	1429.0	1678.0
206	Mendocino	CA	25	14.6	6.6	15.9	5337.0	4142.0
207	Merced	CA	125	18.2	6.5	8.4	12258.0	4432.0
208	Modoc	CA	2	16.5	9.6	19.3	957.0	1103.0
209	Mono	CA	4	8.7	3.9	16.3	1461.0	476.0
210	Monterey	CA	124	13.7	5.8	9.3	21271.0	7296.0
211	Napa	CA	176	7.9	3.5	7.4	4806.0	3847.0
212	Nevada	CA	103	8.3	2.0	16.8	3995.0	4640.0
213	Orange	CA	3785	10.6	4.7	7.6	135702.0	51060.0
214	Placer	CA	226	5.9	4.1	12.8	10318.0	6387.0
215	Plumas	CA	8	10.1	5.7	19.9	1778.0	2185.0
216	Riverside	CA	270	12.3	5.8	9.8	80134.0	39244.0
217	Sacramento	CA	1412	13.7	5.6	10.9	58592.0	28774.0
218	San Benito	CA	40	9.2	3.5	6.7	4617.0	1351.0
219	San Bernardino	CA	98	16.0	7.3	10.3	89760.0	35401.0
220	San Diego	CA	698	11.6	4.9	10.5	133137.0	59354.0
221	San Francisco	CA	15837	12.0	3.9	11.0	25255.0	18969.0
222	San Joaquin	CA	475	14.7	7.1	10.0	30435.0	13733.0
223	San Luis Obispo	CA	77	11.1	4.3	13.1	7427.0	6141.0
224	San Mateo	CA	1558	6.8	4.1	7.1	30483.0	14256.0
225	Santa Barbara	CA	146	13.1	4.3	10.0	17115.0	8732.0
226	Santa Clara	CA	1316	8.8	4.0	7.6	81257.0	26130.0
227	Santa Cruz	CA	561	11.3	4.0	13.0	10669.0	5098.0
228	Shasta	CA	48	13.4	6.7	19.5	5969.0	5509.0
229	Sierra	CA	4	9.2	0.0	0.0	280.0	365.0
230	Siskiyou	CA	7	15.5	2.7	17.3	2191.0	2528.0
231	Solano	CA	496	8.4	5.6	9.4	17454.0	7904.0
232	Sonoma	CA	296	8.8	4.4	9.4	17232.0	11708.0
233	Stanislaus	CA	338	14.2	7.5	10.6	23545.0	11061.0
234	Sutter	CA	148	12.9	3.6	13.0	6121.0	3480.0
235	Tehama	CA	21	14.8	6.4	16.0	3428.0	3110.0
236	Trinity	CA	4	14.3	8.1	20.8	1109.0	1436.0
237	Tulare	CA	85	21.5	6.1	8.8	22337.0	8117.0
238	Tuolumne	CA	27	11.5	5.4	16.9	2218.0	2961.0
239	Ventura	CA	431	9.8	5.5	9.1	34961.0	14611.0
240	Yolo	CA	183	12.1	5.2	8.9	7136.0	3512.0
241	Yuba	CA	106	16.7	7.5	18.2	5446.0	2706.0
242	Adams	CO	335	10.5	6.6	18.5	19783.0	6700.0
243	Alamosa	CO	21	18.4	11.5	20.5	2312.0	1164.0
244	Arapahoe	CO	659	7.9	5.0	16.5	23114.0	8722.0
245	Archuleta	CO	9	11.0	6.5	24.4	977.0	497.0
246	Baca	CO	2	15.9	0.0	0.0	415.0	636.0
247	Bent	CO	4	19.3	11.5	0.0	674.0	686.0
248	Boulder	CO	378	9.5	4.9	14.3	11271.0	4334.0
249	Broomfield	CO	-2222	5.1	0.0	-2222.2	-2222.2	-2222.2
250	Chaffee	CO	17	11.6	3.3	23.9	1348.0	1421.0
251	Cheyenne	CO	1	11.1	0.0	0.0	245.0	224.0
252	Clear Creek	CO	23	6.8	7.9	21.6	1008.0	427.0
253	Conejos	CO	7	19.6	8.1	19.9	1231.0	749.0
254	Costilla	CO	3	21.6	14.8	35.5	452.0	391.0
255	Crowley	CO	7	25.5	0.0	0.0	453.0	444.0
256	Custer	CO	5	11.0	0.0	0.0	323.0	187.0
257	Delta	CO	26	13.2	6.9	27.8	1595.0	1640.0
258	Denver	CO	3638	15.1	6.7	14.2	34354.0	13530.0
259	Dolores	CO	2	12.1	0.0	0.0	197.0	177.0
260	Douglas	CO	297	2.2	4.2	10.4	11590.0	1576.0
261	Eagle	CO	28	6.4	3.9	16.4	3879.0	375.0
262	Elbert	CO	12	5.5	3.7	17.8	2086.0	749.0
263	El Paso	CO	266	10.4	6.5	17.4	25590.0	9662.0
264	Fremont	CO	31	14.0	8.8	21.6	2159.0	2460.0
265	Garfield	CO	17	8.5	6.5	18.0	4022.0	1368.0
266	Gilpin	CO	33	5.8	0.0	33.8	486.0	179.0
267	Grand	CO	7	7.6	1.6	14.2	1376.0	510.0
268	Gunnison	CO	4	11.7	8.3	16.4	1429.0	580.0
269	Hinsdale	CO	1	9.3	0.0	0.0	69.0	30.0
270	Huerfano	CO	5	19.2	6.4	17.6	680.0	932.0
271	Jackson	CO	1	13.1	0.0	0.0	152.0	116.0
272	Jefferson	CO	682	6.8	5.5	16.1	19626.0	10089.0
273	Kiowa	CO	1	10.3	0.0	0.0	161.0	182.0
274	Kit Carson	CO	4	13.2	9.1	19.9	854.0	732.0
275	Lake	CO	21	11.6	11.7	20.3	1208.0	376.0
276	La Plata	CO	28	10.6	4.4	19.9	2283.0	1233.0
277	Larimer	CO	105	9.3	5.6	15.4	10023.0	4640.0
278	Las Animas	CO	3	15.4	3.4	20.2	1677.0	1794.0
279	Lincoln	CO	2	15.1	1.9	15.8	574.0	593.0
280	Logan	CO	11	12.8	7.0	12.3	2536.0	1875.0
281	Mesa	CO	39	11.1	6.6	19.8	4709.0	3598.0
282	Mineral	CO	1	9.5	0.0	0.0	56.0	56.0
283	Moffat	CO	3	9.5	5.7	25.5	1701.0	884.0
284	Montezuma	CO	12	14.9	6.7	21.6	3176.0	2225.0
285	Montrose	CO	17	12.3	4.4	18.8	2276.0	1620.0
286	Morgan	CO	22	12.8	7.5	16.9	2393.0	1233.0
287	Otero	CO	15	17.8	6.2	17.4	2904.0	2394.0
288	Ouray	CO	8	7.6	0.0	0.0	307.0	190.0
289	Park	CO	8	7.2	5.8	16.5	1522.0	524.0
290	Phillips	CO	7	10.8	11.0	0.0	597.0	540.0
291	Pitkin	CO	15	5.2	2.9	18.4	1514.0	352.0
292	Prowers	CO	8	17.4	7.7	12.3	2291.0	1273.0
293	Pueblo	CO	63	15.2	7.6	21.2	6076.0	4442.0
294	Rio Blanco	CO	2	9.2	8.1	20.0	680.0	459.0
295	Rio Grande	CO	13	16.6	4.7	18.9	1644.0	1209.0
296	Routt	CO	9	6.3	5.5	14.5	1999.0	654.0
297	Saguache	CO	2	20.5	3.8	0.0	875.0	408.0
298	San Juan	CO	1	13.4	0.0	0.0	58.0	34.0
299	San Miguel	CO	6	8.7	0.0	0.0	663.0	137.0
300	Sedgwick	CO	5	11.1	0.0	0.0	308.0	416.0
301	Summit	CO	41	6.4	5.6	8.7	2726.0	357.0
302	Teller	CO	39	7.6	5.7	22.6	2124.0	838.0
303	Washington	CO	2	10.8	0.0	0.0	533.0	552.0
304	Weld	CO	57	10.3	7.3	12.3	10549.0	3637.0
305	Yuma	CO	4	12.1	8.8	13.4	1237.0	1044.0
306	Fairfield	CT	1443	7.3	5.3	6.3	36336.0	21011.0
307	Hartford	CT	1193	9.2	6.3	7.6	31212.0	23682.0
308	Litchfield	CT	207	5.5	4.3	10.1	5753.0	5035.0
309	Middlesex	CT	442	5.1	4.6	7.4	5412.0	4058.0
310	New Haven	CT	1398	9.4	6.8	7.6	30738.0	23078.0
311	New London	CT	400	6.6	6.7	10.8	9768.0	6873.0
312	Tolland	CT	360	5.3	4.8	6.5	4349.0	2682.0
313	Windham	CT	226	8.1	5.3	10.4	3954.0	3157.0
314	Kent	DE	244	10.6	11.0	11.0	5835.0	3342.0
315	New Castle	DE	1227	8.2	9.4	11.1	21109.0	12346.0
316	Sussex	DE	188	10.0	8.5	11.2	6224.0	5355.0
317	Washington	DC	8966	17.5	10.9	6.0	22742.0	17375.0
318	Alachua	FL	256	16.1	11.0	16.3	7354.0	4724.0
319	Baker	FL	42	13.7	8.9	11.9	3298.0	1767.0
320	Bay	FL	212	12.8	12.6	15.4	5960.0	4363.0
321	Bradford	FL	96	16.2	10.4	13.4	3089.0	2622.0
322	Brevard	FL	522	10.1	6.5	17.5	14613.0	16256.0
323	Broward	FL	1475	12.5	6.5	13.3	67007.0	48248.0
324	Calhoun	FL	23	18.1	9.8	13.1	1460.0	1389.0
325	Charlotte	FL	227	9.3	7.1	18.7	3079.0	6574.0
326	Citrus	FL	230	12.4	6.2	18.7	2587.0	6345.0
327	Clay	FL	285	7.4	7.6	16.6	5904.0	3518.0
328	Collier	FL	152	9.6	5.5	11.7	10814.0	7318.0
329	Columbia	FL	80	15.6	10.9	12.6	3868.0	3210.0
330	DeSoto	FL	56	18.3	7.7	9.0	2202.0	1504.0
331	Dixie	FL	21	18.6	11.0	21.3	1581.0	1475.0
332	Duval	FL	1068	12.8	10.3	14.5	36661.0	20511.0
333	Escambia	FL	448	15.7	11.4	12.5	11766.0	8692.0
334	Flagler	FL	158	8.2	7.1	12.1	2240.0	3281.0
335	Franklin	FL	19	14.6	19.6	12.2	1074.0	1249.0
336	Gadsden	FL	90	18.0	15.6	9.6	3531.0	2273.0
337	Gilchrist	FL	47	14.2	10.0	19.7	1658.0	1391.0
338	Glades	FL	15	13.1	4.2	15.6	805.0	1009.0
339	Gulf	FL	25	15.4	13.6	14.3	1307.0	1534.0
340	Hamilton	FL	27	21.8	8.8	14.1	1615.0	1235.0
341	Hardee	FL	44	20.6	5.3	10.5	4521.0	2056.0
342	Hendry	FL	34	18.0	6.7	10.7	3280.0	1366.0
343	Hernando	FL	331	12.1	6.5	21.3	3708.0	6709.0
344	Highlands	FL	93	13.9	9.8	15.0	4367.0	6483.0
345	Hillsborough	FL	1077	13.0	8.7	12.6	45253.0	26268.0
346	Holmes	FL	40	18.6	6.8	12.0	2126.0	2204.0
347	Indian River	FL	256	10.0	6.7	11.2	5541.0	7771.0
348	Jackson	FL	53	16.2	5.5	11.6	2718.0	2595.0
349	Jefferson	FL	24	16.2	10.9	9.8	1513.0	1441.0
350	Lafayette	FL	15	18.9	6.9	0.0	786.0	570.0
351	Lake	FL	291	10.2	6.4	15.5	7936.0	9180.0
352	Lee	FL	678	10.2	6.5	14.3	16382.0	16162.0
353	Leon	FL	369	14.0	11.0	10.7	9002.0	4664.0
354	Levy	FL	34	16.3	7.0	22.3	1998.0	2194.0
355	Liberty	FL	9	17.2	8.3	0.0	786.0	548.0
356	Madison	FL	28	18.3	10.8	10.3	2157.0	1943.0
357	Manatee	FL	414	10.8	7.2	14.5	9920.0	10038.0
358	Marion	FL	192	14.0	9.0	17.1	8844.0	10938.0
359	Martin	FL	251	9.2	8.6	15.5	3594.0	4937.0
360	Miami-Dade	FL	1221	18.9	5.9	9.1	97091.0	55624.0
361	Monroe	FL	77	10.2	5.1	17.7	3752.0	3584.0
362	Nassau	FL	99	8.9	8.3	12.9	3608.0	2686.0
363	Okaloosa	FL	195	9.9	9.1	14.1	7385.0	4235.0
364	Okeechobee	FL	51	15.0	6.0	18.6	2645.0	1870.0
365	Orange	FL	1127	13.2	7.5	9.9	43304.0	19432.0
366	Osceola	FL	175	13.1	6.5	14.6	8747.0	4251.0
367	Palm Beach	FL	643	10.9	7.4	12.5	42293.0	40726.0
368	Pasco	FL	576	11.9	6.6	18.7	11773.0	16150.0
369	Pinellas	FL	3315	12.1	7.6	16.3	27592.0	37641.0
370	Polk	FL	290	14.0	8.4	13.0	20747.0	15831.0
371	Putnam	FL	102	18.7	9.8	16.7	4581.0	4478.0
372	St. Johns	FL	265	8.1	6.5	13.2	4160.0	3529.0
373	St. Lucie	FL	422	12.9	5.7	14.0	6964.0	7078.0
374	Santa Rosa	FL	141	10.0	5.8	15.0	4665.0	2812.0
375	Sarasota	FL	641	8.4	5.1	17.1	8618.0	14238.0
376	Seminole	FL	1303	9.1	5.5	13.0	13633.0	8050.0
377	Sumter	FL	118	13.1	11.0	12.7	2271.0	3368.0
378	Suwannee	FL	56	16.4	12.4	18.0	2332.0	2237.0
379	Taylor	FL	19	16.7	8.1	18.4	2326.0	2099.0
380	Union	FL	62	18.0	7.1	17.0	1377.0	1603.0
381	Volusia	FL	444	12.2	5.7	17.2	14006.0	17854.0
382	Wakulla	FL	47	11.0	9.9	11.2	2519.0	1705.0
383	Walton	FL	48	13.4	5.5	17.1	2361.0	2181.0
384	Washington	FL	38	17.1	10.1	14.6	2292.0	2272.0
385	Appling	GA	35	17.0	13.5	8.9	2538.0	1731.0
386	Atkinson	GA	24	19.5	8.7	14.8	1624.0	705.0
387	Bacon	GA	36	17.9	5.4	10.1	1450.0	1204.0
388	Baker	GA	12	19.6	0.0	0.0	416.0	361.0
389	Baldwin	GA	175	17.6	14.9	12.7	2617.0	1972.0
390	Banks	GA	69	12.3	5.2	14.7	1670.0	1037.0
391	Barrow	GA	370	10.1	5.8	12.7	4299.0	1847.0
392	Bartow	GA	194	10.9	6.6	12.1	7175.0	3175.0
393	Ben Hill	GA	69	19.3	12.2	10.1	2808.0	2047.0
394	Berrien	GA	37	16.8	9.5	17.3	2435.0	1670.0
395	Bibb	GA	620	18.9	13.3	11.7	7609.0	4984.0
396	Bleckley	GA	56	15.3	11.6	20.1	1540.0	1216.0
397	Brantley	GA	35	15.9	5.8	12.4	1198.0	1195.0
398	Brooks	GA	33	20.1	9.5	12.8	1904.0	1975.0
399	Bryan	GA	65	10.0	5.2	14.8	3754.0	1423.0
400	Bulloch	GA	90	18.9	12.7	11.9	3465.0	1978.0
401	Burke	GA	28	21.7	11.5	11.4	3768.0	2283.0
402	Butts	GA	113	12.5	10.4	14.3	2715.0	1765.0
403	Calhoun	GA	21	24.7	12.3	0.0	900.0	709.0
404	Camden	GA	73	10.8	7.6	11.1	3827.0	981.0
405	Candler	GA	42	21.5	13.0	17.0	1525.0	1196.0
406	Carroll	GA	211	12.5	7.4	13.7	7420.0	3901.0
